Исходный ключ,Коннектор источника,Сигнатуры,Количество записей с неполной информацией,Статус сигнатуры,ID импорта (Сигнатура),Исходный ключ (Сигнатура),Замечания (Сигнатуры),Замечания по нормализации (Сигнатуры),Ответственное лицо за нормализацию (Сигнатуры),Количество неактивных записей,Количество проигнорированных записей,Количество неэффективных записей,Правила распознавания,Количество записей необработанных данных,Сумма количеств,Количество исходных ключей (Сопоставленные продукты),Количество сопоставленных продуктов,Количество сопоставленных продуктов (Лицензия не требуется),Сопоставленный продукт,Количество присвоенных следов продукта,Сопоставленный след программной установки,Количество статусов инвентаризации,Статус инвентаризации,Код (Соответствие),Комментарий,Описание (Соответствие),Издатель (Соответствие),Продукт (Соответствие),Версия продукта (Соответствие),Производитель (или издатель)
custkey_rayventory,,0,0,,,,,,,0,0,0,0,993,993,0,0,0,,0,,0,,_AuthenticationServices_SwiftUI,framework,,,_AuthenticationServices_SwiftUI,1.0,
custkey_rayventory,,0,0,,,,,,,0,0,0,0,993,993,0,0,0,,0,,0,,_AVKit_SwiftUI,framework,,,_AVKit_SwiftUI,1.0,
custkey_rayventory,,0,0,,,,,,,0,0,0,0,993,993,0,0,0,,0,,0,,_CoreData_CloudKit,framework,,,_CoreData_CloudKit,1.0,
custkey_rayventory,,0,0,,,,,,,0,0,0,0,993,993,0,0,0,,0,,0,,_CoreLocationUI_SwiftUI,framework,,,_CoreLocationUI_SwiftUI,1.0,
custkey_rayventory,,0,0,,,,,,,0,0,0,0,993,993,0,0,0,,0,,0,,_GroupActivities_AppKit,framework,,,_GroupActivities_AppKit,1.0,
custkey_rayventory,,0,0,,,,,,,0,0,0,0,993,993,0,0,0,,0,,0,,_GroupActivities_UIKit,framework,,,_GroupActivities_UIKit,1.0,
custkey_rayventory,,0,0,,,,,,,0,0,0,0,993,993,0,0,0,,0,,0,,_MapKit_SwiftUI,framework,,,_MapKit_SwiftUI,1.0,
custkey_rayventory,,0,0,,,,,,,0,0,0,0,993,993,0,0,0,,0,,0,,_MusicKit_SwiftUI,framework,,,_MusicKit_SwiftUI,1.0,
custkey_rayventory,,0,0,,,,,,,0,0,0,0,993,993,0,0,0,,0,,0,,_MusicKitInternal_MediaPlayer,framework,,,_MusicKitInternal_MediaPlayer,1.0,
custkey_rayventory,,0,0,,,,,,,0,0,0,0,993,993,0,0,0,,0,,0,,_MusicKitInternal_SwiftUI,framework,,,_MusicKitInternal_SwiftUI,1.0,
custkey_rayventory,,0,0,,,,,,,0,0,0,0,993,993,0,0,0,,0,,0,,_QuickLook_SwiftUI,framework,,,_QuickLook_SwiftUI,1.0,
custkey_rayventory,,0,0,,,,,,,0,0,0,0,993,993,0,0,0,,0,,0,,_SceneKit_SwiftUI,framework,,,_SceneKit_SwiftUI,1.0,
custkey_rayventory,,0,0,,,,,,,0,0,0,0,993,993,0,0,0,,0,,0,,_SpriteKit_SwiftUI,framework,,,_SpriteKit_SwiftUI,1.0,
custkey_rayventory,,0,0,,,,,,,0,0,0,0,993,993,0,0,0,,0,,0,,_StoreKit_SwiftUI,framework,,,_StoreKit_SwiftUI,1.0,
