ПО/не ПО,Код (Соответствие),Комментарий,Версия продукта (Соответствие)
не ПО,_AppIntents_AppKit,framework,1.0
не ПО,_AppIntents_AppKit,framework,
не ПО,_AppIntents_SwiftUI,framework,1.0
не ПО,_AppIntents_SwiftUI,framework,
не ПО,_AppIntents_UIKit,framework,1.0
не ПО,_AppIntents_UIKit,framework,
не ПО,_AuthenticationServices_SwiftUI,framework,1.0
не ПО,_AuthenticationServices_SwiftUI,framework,
не ПО,_AVKit_SwiftUI,framework,1.0
не ПО,_AVKit_SwiftUI,framework,
не ПО,_Coherence_CloudKit_Private,framework,1.0
не ПО,_Coherence_CloudKit_Private,framework,
не ПО,_CoreData_CloudKit,framework,1.0
не ПО,_CoreData_CloudKit,framework,
не ПО,_CoreLocationUI_SwiftUI,framework,1.0
не ПО,_CoreLocationUI_SwiftUI,framework,
не ПО,_DeviceActivity_SwiftUI,framework,3.0
не ПО,_DeviceActivity_SwiftUI,framework,
не ПО,_GroupActivities_AppKit,framework,1.0
не ПО,_GroupActivities_AppKit,framework,
не ПО,_GroupActivities_AppKit_iOSMac,framework,1.0
не ПО,_GroupActivities_AppKit_iOSMac,framework,
не ПО,_GroupActivities_UIKit,framework,1.0
не ПО,_GroupActivities_UIKit,framework,
не ПО,_HomeKit_SwiftUI,framework,1.0
не ПО,_HomeKit_SwiftUI,framework,
не ПО,_JetEngine_SwiftUI,framework,1.0
не ПО,_JetEngine_SwiftUI,framework,
не ПО,_JetUI_SwiftUI,framework,1.0
не ПО,_JetUI_SwiftUI,framework,
не ПО,_JetUISwiftUI,framework,
не ПО,_LocalAuthentication_SwiftUI,framework,1.0
не ПО,_LocalAuthentication_SwiftUI,framework,
не ПО,_MapKit_SwiftUI,framework,1.0
не ПО,_MapKit_SwiftUI,framework,
не ПО,_MusicKit_SwiftUI,framework,1.0
не ПО,_MusicKit_SwiftUI,framework,
не ПО,_MusicKitInternal_MediaPlayer,framework,1.0
не ПО,_MusicKitInternal_MediaPlayer,framework,
не ПО,_MusicKitInternal_SwiftUI,framework,1.0
не ПО,_MusicKitInternal_SwiftUI,framework,
не ПО,_MusicKitlnternaLMediaPlayer,framework,
не ПО,_PassKit_SwiftUI,framework,1.0
не ПО,_PassKit_SwiftUI,framework,
не ПО,_PhotosUI_SwiftUI,framework,1.0
не ПО,_PhotosUI_SwiftUI,framework,
не ПО,_PhotosUISwiftUI,framework,
не ПО,_QuickLook_SwiftUI,framework,1.0
не ПО,_QuickLook_SwiftUI,framework,
не ПО,_SceneKit_SwiftUI,framework,1.0
не ПО,_SceneKit_SwiftUI,framework,
не ПО,_SpriteKit_SwiftUI,framework,1.0
не ПО,_SpriteKit_SwiftUI,framework,
не ПО,_StoreKit_SwiftUI,framework,1.0
не ПО,_StoreKit_SwiftUI,framework,
ПО,1-Click Video Converter,,6.3.37
ПО,1-Click Video Converter,,6.3.51
ПО,1-Click Video Converter,,6.3.55
ПО,1C:Enterprise,,8.3.19.1229
ПО,1C:Enterprise,,8.3.21.1644
ПО,1C:Enterprise - Thick client,,8.3.19.1229
ПО,1C:Enterprise - Thick client,,8.3.21.1644
ПО,1C:Enterprise - Thin client,,8.3.19.1229
ПО,1C:Enterprise - Thin client,,8.3.21.1644
ПО,1Password,,8.10.4
ПО,2048 Game,,2.0.1
ПО,250+ Solitaires,,1.1.4
непонятно,3Dconnexion Enabler,,22.0.0 v1 RUS (3009)
непонятно,3DStudio Out,,22.0.0 v1 RUS (3009)
непонятно,Закрыть все программы,,1.3
ПО,Майкрософт Windows 10 Корпоративная,,10.0.19045
ПО,Майкрософт Windows 10 Корпоративная,,10.0.19044
ПО,Майкрософт Windows 10 Pro,,10.0.19043
не ПО,Отправка логов,,1.0
не ПО,Рутокен для macOS,,1.0
непонятно,Скриншотер,,1.13
не ПО,AAAccountNotificationPlugin,пакет,
не ПО,AAAFoundation,framework,1.0
не ПО,AAAFoundation,framework,
не ПО,AAAFoundationSwift,framework,1.0
не ПО,AAAFoundationSwift,framework,
не ПО,AACCIient,framework,
не ПО,AACCore,framework,
не ПО,AACDependencies,framework,
не ПО,AACloudServiceOwner,пакет,
не ПО,AADataclassEnableNotificationPlugin,пакет,
не ПО,AAGKAuthenticationPlugin,framework,1.0
не ПО,AAGKAuthenticationPlugin,framework,
не ПО,AAGKAuthenticationPlugin,пакет,
не ПО,AAIDMSAccountNotificationPlugin,пакет,
не ПО,AAIDSAuthenticationPlugin,пакет,1.0
не ПО,AAIDSAuthenticationPlugin,пакет,
не ПО,AAM Registration Notifier,,7.0.0.485
не ПО,AAM Registration Notifier,,3.0.64.0
непонятно,AAM Updates Notifier,,9.0.0.281
непонятно,AASIapp,,10.0.0.212
не ПО,AboutExtension,расширение программ и систем,1.0
не ПО,AboutExtension,расширение программ и систем,
не ПО,Abstract,,95.0.1
не ПО,Accelerate,framework,
не ПО,Accessibility,framework,
не ПО,AccessibilityAccountUpdater,пакет,
не ПО,AccessibilityAudit,framework,1.0
не ПО,AccessibilityAudit,framework,
не ПО,AccessibilityBundles,framework,
не ПО,AccessibilityEvents,framework,
